Hotel_Name,Hotel_Rating,Room_type,Room_price,Room_sqft,Facilities,Location
Hotel Airport International Mumbai,6.9,Superior Double or Twin Room,$417,226 feet²,"['Free parking', 'Restaurant', 'Air conditioning', 'Private Bathroom', 'Free WiFi', 'Shower', 'Airport shuttle', 'Family rooms', 'Room service', 'Non-smoking rooms']","Near Domestic Airport, Vile Parle ( E ), 400099 Mumbai, India"
FabExpress Adore Inn,7.1,Deluxe Room,$132,180 feet²,"['Free WiFi', 'Free parking', 'Air conditioning', 'Private Bathroom', '24-hour front desk', 'Daily housekeeping', 'Parking on site']","90 Feet Road, Opposite Peninsula Grand, Sakinaka, Andheri (E) Opposite Peninsula Grand, 400072 Mumbai, India"
Lalco Residency,7.6,Two-Bedroom Apartment,$193,1100 feet²,[],"Kalpataru Estate - 1A, Jogeshwari Vikhroli Link Road, Andheri (E), 400093 Mumbai, India"
Hotel Suba Palace,8.3,Deluxe Double or Twin Room 10% off on Food and Soft Beverage and Laundry per stay.,$413,225 feet²,"['Restaurant', 'Air conditioning', 'Private Bathroom', 'Free WiFi', 'Shower', 'Fitness center', 'Flat-screen TV', 'Airport shuttle', 'Family rooms', 'Room service']","Near Gateway of India, Apollo Bunder, , Colaba, 400039 Mumbai, India"
Hotel Supreme - Cuffe Parade,7.1,,,,[],"No 4, Panday Road, opposite Hotel President, Colaba, Cuffe Parade, 400005 Mumbai, India"
Treebo Trend Elegant CST,6.0,Standard Double Room,$79,160 feet²,"['Air conditioning', 'Private Bathroom', 'Free WiFi', 'Shower', 'Flat-screen TV', 'Family rooms', 'Room service', 'Non-smoking rooms', '24-hour front desk', 'Daily housekeeping']","80/82, Zubeda Castle, Pydhonie, Mandvi, Mumbai, 400003 Mumbai, India"
"Ivy Palms Villa with Pool - 2 Bhk Goregaon, Mumbai",5.5,Two-Bedroom Villa,$147,200 feet²,"['Free parking', 'Pet friendly', 'Swimming pool', 'Private pool', 'Balcony', 'Air conditioning', 'Terrace', 'Private Bathroom', 'View', 'Kitchen']","Ivy Palms Villa with Pool, Villa no 241, Survey no 169, Aarey Milk Colony, Goregaon East, Mumbai Suburban, 400065 Mumbai, India"
Ivy Love Shack with pool 3 Bhk with awesome View of Mumbai,,Three-Bedroom Villa,$184,1200 feet²,"['Free parking', 'Pet friendly', 'Balcony', 'Air conditioning', 'Terrace', 'Private Bathroom', 'View', 'Kitchen', 'Flat-screen TV', 'Whole house']","Royal Palms Villa Road, 400065 Mumbai, India"
Villa 408-Dr Wade in Royal Palms Mumbai,9.5,,,,"['Whole house', 'Size', 'Kitchen', 'City view', 'Pet friendly', 'Swimming pool', 'Balcony', 'Free parking', 'Air conditioning', 'Private Bathroom']","Villa 408, Dr.Wade, Near Royal Palms Residency hotel,Royal Palms Estate, 400065 Mumbai, India"
Hotel A. K. International - Fort,6.0,,,,[],"27/29, Adi Marzban Path, Opp Shaheed Bhagat Singh Road, Near Cafe Universal, Ballard Estate, 400038 Mumbai, India"
OSI Service Apartments Andheri West,6.3,Two-Bedroom Apartment,$250,950 feet²,"['Parking', 'Air conditioning', 'Private Bathroom', 'Kitchen', 'Free WiFi', 'Shower', 'Washing machine', 'Flat-screen TV', 'Family rooms', 'Apartments']","1st Cross Lane, Swami Samarth Nagar, Lokhandwala Complex Andheri West, 400053 Mumbai, India"
FabExpress Liwa International Andheri East,7.6,,,,"['Free WiFi', 'Free parking', 'Air conditioning', 'Private Bathroom', '24-hour front desk', 'Daily housekeeping', 'Non-smoking rooms', 'Elevator', 'Parking on site']","Jijamata Road 3 near Pump house,  Andheri (E), 400093 Mumbai, India"
Hotel King Palace,3.0,Deluxe Double Room with Extra Bed,$61,220 feet²,"['Air conditioning', 'Flat-screen TV', 'Family rooms', 'Room service', 'Non-smoking rooms', '24-hour front desk']","26/208, Govt. Hsg., Scheme, Nehru Road Anand Nagar, Next to Ola Hall, Santacruz (E), Mumbai - 400 055., Santacruz, 400055 Mumbai, India"
Hotel Sunshine Airport,6.1,Deluxe Double Room,$132,2422 feet²,"['Free parking', 'Restaurant', 'Air conditioning', 'Private Bathroom', 'Free WiFi', 'Bathtub', 'Flat-screen TV', 'Airport shuttle', 'Family rooms', 'Room service']","Opp IBI House & The Qube, Near International Airport,Behind J W Marriott Hotel,Chimatpada,Marol Naka,Andheri East, 400059 Mumbai, India"
SHAH SOCIAL PARTY VILLA In Royal Palms Mumbai,6.4,Villa with Private Pool,$103,3000 feet²,"['Free parking', 'Swimming pool', 'Restaurant', 'Private pool', 'Balcony', 'Air conditioning', 'Terrace', 'Private Bathroom', 'View', 'Kitchen']","Royal Palms Villa Road VILLA NO 402, 400065 Mumbai, India"
Quirky- Royal Palm villa,6.7,One-Bedroom Villa,$196,1500 feet²,"['Size', 'Kitchen', 'View', 'Pet friendly', 'Swimming pool', 'BBQ facilities', 'Free WiFi', 'Terrace', 'Balcony', 'Free parking']","Royal Palms Villa Road, 400065 Mumbai, India"
Citizen Hotel,6.9,Executive Double or Twin Room,$343,180 feet²,[],"960, Juhu Tara Road, Juhu, 400049 Mumbai, India"
Peninsula Grand,6.4,Superior Double or Twin Room,$397,220 feet²,[],"Sakinaka junction, 400072 Mumbai, India"
KF Residency,5.1,Deluxe Triple Room,$118,,[],"Next to Kurla Court, L.B.S Road Kurla West, 400070 Mumbai, India"
Hotel Sun City - Near Saifee Hospital And H N Reliance Hospital,6.3,Deluxe Triple Room - 10% discount on food and soft beverage,$66,,"['Parking', 'Air conditioning', 'Private Bathroom', 'View', 'Free WiFi', 'Shower', 'Flat-screen TV', 'Airport shuttle', 'Family rooms', 'Room service']","1St Floor, 198, Diamond Queen Building, Prathna Samaj, Raja Ram Mohan Rai Marg, Girgaon, 400004 Mumbai, India"
Hotel New Bengal,5.6,Standard Double or Twin Room,$57,,"['Parking', 'Restaurant', 'Air conditioning', 'Private Bathroom', 'Free WiFi', 'Shower', 'Flat-screen TV', 'Airport shuttle', 'Family rooms', 'Room service']","'B' Block, Sitaram Building, Dr.D.N.Road, Near Crawford Market, 400001 Mumbai, India"
J ESVI Hotels,7.1,Deluxe Room,$167,160 feet²,"['Free parking', 'Air conditioning', 'Private Bathroom', 'Free WiFi', 'Shower', 'Flat-screen TV', 'Family rooms', 'Room service', 'Non-smoking rooms', 'Cable channels']","Jaiswal Chambers, Near Railway Station & Bus Depot, S.V. Road, Jogeswari West, 400102 Mumbai, India"
Treebo Trend BKC Mannat,4.5,Standard Double Room,$102,180 feet²,"['Free WiFi', 'Free parking', 'Air conditioning', 'Private Bathroom', '24-hour front desk', 'Daily housekeeping', 'Elevator']","E, 2nd Floor Bldg No 11 CSRA, near Trade Centre Bkc, Kolivery Village, MMRDA Area, Kalina, Bandra East, Mumbai, Maharashtra 400051, Santacruz, 400051 Mumbai, India"
"Lemon Tree Premier, Mumbai International Airport",7.3,Deluxe Room,$763,269 feet²,"['Free parking', 'Swimming pool', 'Restaurant', 'Spa', 'Air conditioning', 'Private Bathroom', 'View', 'Free WiFi', 'Shower', 'BBQ facilities']","Opposite Mittal Industrial Estate, Andheri Kurla Road Andheri East, 400059 Mumbai, India"
Royal squad Villa 239,,One-Bedroom Apartment,$196,,"['Free parking', 'Pet friendly', 'Swimming pool', 'Private pool', 'Balcony', 'Air conditioning', 'Terrace', 'Private Bathroom', 'View', 'Kitchen']","239 Royal Palms Villa Road, 400065 Mumbai, India"
Hotel Blue Orchid - Marol Andheri,6.6,Deluxe Double Room,$61,,"['Free parking', 'Air conditioning', 'Private Bathroom', 'Free WiFi', 'Shower', 'Flat-screen TV', 'Family rooms', 'Room service', 'Non-smoking rooms', '24-hour front desk']","B11,Saibaba industrial estate, Nest state bank line, Marol Maroshi Rd,Marol, Mumbai, 400059 Mumbai, India"
"Hotel Pearl's BKC Inn- Near Trade Centre, Visa Consulate",3.8,,,,[],"Near Trade Center, BKC , Building No 11 (SRC). Bandra Kurla Complex , Bandra East , , Mumbai, Santacruz, 400051 Mumbai, India"
